id_listing,judul,harga,alamat,kamar_tidur,kamar_mandi,garasi/carport,luas_tanah,luas_bangunan
hos19058463,Rumah Bagus SHM - Sertifikat Hak Milik di Tubagus Ismail,"Rp 1,65 Miliar","Tubagus Ismail, Bandung",3,2,1,: 89 m²,: 178 m²
hos18981961,Rumah 1 Lantai di Komplek Puri Dago Antapani Bandung,"Rp 1,17 Miliar","Antapani, Bandung",2,2,1,: 106 m²,: 80 m²
hos17707928,Dijual Rumah Shm Murah Di Jatihandap Dkt Pusat Kota,Rp 475 Juta,"Antapani, Bandung",2,1,1,: 72 m²,: 40 m²
hos16087225,Rumah Mewah di Setra Duta Lokasi Strategis Siap Huni,"Rp 12,5 Miliar","Setra Duta, Bandung",4,5,4,: 394 m²,: 570 m²
hos16066528,Rumah Baru di Leuwi Panjang Dekat Soekarno Hatta,"Rp 2,5 Miliar","Bandung Kota, Bandung",3,2,1,: 235 m²,: 175 m²
hos17647941,Dijual rumah murah di Jatihandap dkt cicaheum Antapani,Rp 398 Juta,"Antapani, Bandung",2,1,null,: 80 m²,: 33 m²
hos17888480,Dijual Rumah Cluster Mewah 2 Lantai Di Dago Kota Bandung,"Rp 2,93 Miliar","Dago, Bandung",3,2,2,: 128 m²,: 160 m²
hos17647954,Dijual Rumah 2 Lantai di Jatihandap view kota bandung,Rp 497 Juta,"Antapani, Bandung",3,2,2,: 69 m²,: 55 m²
hos18996276,Dijual Rumah Cluster Baru Shm Kpr Di Jatihandap Kodya Bandung,Rp 496 Juta,"Arcamanik, Bandung",2,1,1,: 63 m²,: 40 m²
hos17314479,Dijual Rumah Mewah 2 Lantai Shm Di Dago,"Rp 2,68 Miliar","Dago, Bandung",3,2,2,: 112 m²,: 114 m²
hos17740891,Dijual rumah minimalis modern di jatihandap atas dkt cicaheum,Rp 499 Juta,"Antapani, Bandung",2,1,1,: 76 m²,: 40 m²
