order,Kecamatan,Latitude,Longitude
251,Andir,-6.918184759,107.5820538
252,Andir,-6.91815391,107.5817921
253,Andir,-6.918153897,107.581792
254,Andir,-6.918115575,107.5815292
255,Andir,-6.918115562,107.5815291
256,Andir,-6.918094585,107.581341
257,Andir,-6.918094572,107.5813409
258,Andir,-6.918076096,107.5811746
259,Andir,-6.918075444,107.5811687
260,Andir,-6.918075432,107.5811686
261,Andir,-6.918045429,107.5809357
262,Andir,-6.918045417,107.5809356
263,Andir,-6.918035769,107.5808218
264,Andir,-6.918009278,107.5807739
265,Andir,-6.918009271,107.5807738
266,Andir,-6.917974879,107.5804509
267,Andir,-6.917974867,107.5804508
268,Andir,-6.917957706,107.5802953
269,Andir,-6.917957693,107.5802952
270,Andir,-6.917931103,107.580084
271,Andir,-6.917931089,107.5800839
272,Andir,-6.917894753,107.5797957
273,Andir,-6.917894739,107.5797956
274,Andir,-6.917860009,107.5795136
275,Andir,-6.917859996,107.5795135
276,Andir,-6.917832293,107.5792383
277,Andir,-6.917832281,107.5792382
278,Andir,-6.917808919,107.5790287
279,Andir,-6.917808906,107.5790286
280,Andir,-6.917755299,107.5786061
281,Andir,-6.917659352,107.5779472
282,Andir,-6.917659338,107.5779471
283,Andir,-6.917532976,107.5769133
284,Andir,-6.917532963,107.5769132
285,Andir,-6.917512388,107.5767201
286,Andir,-6.917500081,107.5766046
287,Andir,-6.917500068,107.5766045
288,Andir,-6.917458699,107.5762493
289,Andir,-6.91731751,107.5750372
290,Andir,-6.917317497,107.5750371
291,Andir,-6.917273252,107.5746876
292,Andir,-6.917273237,107.5746875
293,Andir,-6.917171206,107.5740697
294,Andir,-6.917158472,107.5740213
295,Andir,-6.917134777,107.57394
296,Andir,-6.917102333,107.5738748
297,Andir,-6.917046494,107.5737871
298,Andir,-6.916972767,107.5736889
299,Andir,-6.916904711,107.5736004
300,Andir,-6.916767939,107.5734361
301,Andir,-6.916655938,107.5733042
302,Andir,-6.916531806,107.5731469
303,Andir,-6.916450939,107.5730533
304,Andir,-6.916186108,107.5727339
305,Andir,-6.916156664,107.5726984
306,Andir,-6.915979275,107.572472
307,Andir,-6.915902831,107.5723774
308,Andir,-6.915864195,107.5723407
309,Andir,-6.915722964,107.5722156
310,Andir,-6.915594266,107.572116
311,Andir,-6.915483127,107.5720494
312,Andir,-6.9153713,107.5719807
313,Andir,-6.914896811,107.5716966
314,Andir,-6.914570425,107.5715111
315,Andir,-6.914430135,107.5714238
316,Andir,-6.914076559,107.5712084
317,Andir,-6.913912479,107.5711076
318,Andir,-6.913660753,107.5709691
319,Andir,-6.913331148,107.5707715
320,Andir,-6.912651872,107.5703658
321,Andir,-6.912613501,107.5703415
322,Andir,-6.912245379,107.5701087
323,Andir,-6.911998161,107.569954
324,Andir,-6.911630842,107.5697359
325,Andir,-6.911537056,107.5696735
326,Andir,-6.911486333,107.5696444
327,Andir,-6.911070656,107.5693965
328,Andir,-6.910735551,107.5691967
329,Andir,-6.910634225,107.5691406
330,Andir,-6.910603684,107.569118
331,Andir,-6.91059471,107.5691113
332,Andir,-6.910566439,107.5690934
333,Andir,-6.910360457,107.5689749
334,Andir,-6.91017623,107.5688649
335,Andir,-6.910130207,107.5688317
336,Andir,-6.909922301,107.5687028
337,Andir,-6.909589836,107.5684966
338,Andir,-6.909408603,107.5683842
339,Andir,-6.909397461,107.5683794
340,Andir,-6.909342949,107.5683492
341,Andir,-6.909239798,107.5682972
342,Andir,-6.909066195,107.5681863
343,Andir,-6.908880484,107.568079
344,Andir,-6.908721837,107.567979
345,Andir,-6.908488298,107.5678388
346,Andir,-6.908271209,107.5677038
347,Andir,-6.908046588,107.567572
348,Andir,-6.907910588,107.567492
349,Andir,-6.907715799,107.5673813
350,Andir,-6.907115035,107.5670017
351,Andir,-6.906863736,107.566851
352,Andir,-6.906486835,107.5666264
353,Andir,-6.906485032,107.5666253
354,Andir,-6.906337926,107.5665368
355,Andir,-6.906203223,107.566458
356,Andir,-6.905829582,107.5662326
357,Andir,-6.905625449,107.5661029
358,Andir,-6.905273985,107.5658951
359,Andir,-6.905096316,107.5657855
360,Andir,-6.904932005,107.5656812
361,Andir,-6.904904694,107.5656646
362,Andir,-6.904257125,107.5652886
363,Andir,-6.903926079,107.5650963
364,Andir,-6.903378877,107.5647731
